#,名称,スキル1,スキル2,スキル3,100,250,500,1000,1500,2500,3500,5000,7500,10000
269,ナイトアーマー,ガード,タックル,XPアップ,XPバフ,OPTバフ,XPギア,VITバフ,アクションギア,ATKバフ,アクションギア,クリティカルギア,XPギア,XPバフ
270,ブシドー,ソニックウェーブ,マジックアタック,ラピッドムーブ,ATKバフ,ムーブギア,アクションギア,ムーブギア,ATKバフ,クリティカルギア,XPバフ,ダメージギア,アクションギア,ATKバフ
271,ウィザードローブ,マジックボール,キュア,デスマーチ,マジックギア,XPバフ,INTバフ,フレアギア,マジックギア,ダークギア,,,,
272,タンクアーマー,タックル,ボディアタック,カウンター,,,,,,,,,,
273,ニンジャローブ,アクセル,ポイズンミスト,ラピッドムーブ,,,,,,,,,,
274,パーティウェア,ラッキーパンチ,ランダムアタック,ステップムーブ,,,,,,,,,,
275,ハンターローブ,ポイズンアタック,リーフ,クリティカル+20%,,,,,,,,,,
276,,,,,,,,,,,,,,
277,はっぱ,ジャブ,リーフ,ラピッドムーブ,,,,,,,,,,
278,ファイアーアーマー,マジックアップ,フレア,カウンター,フレアギア,アニマルギア,フレアギア,,,,,,,
279,アサシンローブ,ダッシュアタック,スタンショック,とどめ,,,,,,,,,,
280,シーフローブ,アクセル,ランダムアタック,ラピッドムーブ,コインギア,ムーブギア,コインギア,OPTバフ,ポイズンギア,XPギア,LUKバフ,SPDバフ,コインギア,LUKバフ
281,,,,,,,,,,,,,,
282,ネコミミフード,マジックボール,ラッシュ,ステップムーブ,,,,,,,,,,
283,むぎわらぼうし,ダッシュアタック,リーフ,XPアップ,,,,,,,,,,
284,,,,,,,,,,,,,,
285,アニマルパンツ,ジャブ,ダッシュアタック,ステップムーブ,,,,,,,,,,
286,,,,,,,,,,,,,,
287,チャイナドレス,フレア,スローシャワー,ラピッドムーブ,,,,,,,,,,
288,クイーンドレス,ライト,おいのり,コインプラス,OPTバフ,スライムギア,ライトギア,デビルギア,INTバフ,スタンギア,INTバフ,メダマギア,ライトギア,LUKバフ
289,,,,,,,,,,,,,,
290,うらないローブ,チャージ,おいのり,XPアップ,,,,,,,,,,
291,,,,,,,,,,,,,,
292,ドワーフアーマー,スタンアタック,リーフ,コインプラス,ATKバフ,OPTバフ,VITバフ,ゴブリンギア,XPバフ,,,,,
293,しゅうじんふく,ポイズンアタック,ダーク,クリティカル+20%,,,,,,,,,,
294,,,,,,,,,,,,,,
295,スキンヘッド,ランダムマジック,めいそう,XPアップ,XPバフ,リーフギア,INTバフ,,,,,,,
296,シャーマン,ダーク,ライフドレイン,カウンター,,,,,,,,,,
297,モグメット,チャージ,ラッキーパンチ,ふいうち,,,,,,,,,,
298,,,,,,,,,,,,,,
299,ゴーストローブ,スローアタック,ダーク,デスマーチ,,,,,,,,,,
300,,,,,,,,,,,,,,
301,ブラックローブ,ダーク,ランダムマジック,ラピッドムーブ,,,,,,,,,,
302,アイアンアーマー,ガード,ラッシュ,とどめ,VITバフ,アクションギア,VITバフ,XPギア,クリティカルギア,アーマーギア,シールドギア,スタンギア,VITバフ,VITバフ
303,モンクパンツ,ダッシュアタック,フレア,カウンター,ムーブギア,XPギア,XPバフ,VITバフ,クリティカルギア,SPDバフ,ゴブリンギア,ATKバフ,XPバフ,SPDバフ
304,ヘビーアーマー,ガード,ボディアタック,デスマーチ,,,,,,,,,,
305,たんけんふく,フレア,めいそう,コインプラス,,,,,,,,,,
306,サキュバスタイツ,ダーク,ライフドレイン,エンカウンター,スタンギア,アーマーギア,,,,,,,,
307,サイボーグスーツ,アクセル,スタンアタック,クリティカル+20%,,,,,,,,,,
308,ロボットアーマー,ボディアタック,フレア,デスマーチ,VITバフ,ムーブギア,アクションギア,メダマギア,ATKバフ,フレアギア,スタンギア,SPDバフ,アクションギア,VITバフ
309,,,,,,,,,,,,,,
310,マーメイドフィン,アクア,キュア,クリティカル+20%,,,,,,,,,,
311,パラディンマント,マジックアタック,ライト,XPアップ,クリティカルギア,XPバフ,ライトギア,ゴブリンギア,ATKバフ,SPDバフ,ムーブギア,VITバフ,ライトギア,SPDバフ
312,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,
315,エプロン,フレア,アクア,XPアップ,フレアギア,アクアギア,XPバフ,INTバフ,スライムギア,INTバフ,メダマギア,VITバフ,XPバフ,XPバフ
316,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,
